"","sex","verhoogde_tegemoetkoming","nis","age","population"
"351","M",TRUE,13025,"(16,50]",798.913603270987
"352","M",TRUE,13025,"(50,65]",434.851824172321
"353","M",TRUE,13025,"(65,85]",449.142203428453
"354","M",TRUE,13025,"(85,110]",93.475998715323
"355","M",TRUE,13029,"(-1,5]",45.6346456238039
"356","M",TRUE,13029,"(5,16]",117.731383872028
"357","M",TRUE,13029,"(16,50]",221.045525284475
"358","M",TRUE,13029,"(50,65]",126.747355971228
"359","M",TRUE,13029,"(65,85]",115.877819971353
"360","M",TRUE,13029,"(85,110]",23.8992692771117
"361","M",TRUE,13031,"(-1,5]",43.4633209708097
"362","M",TRUE,13031,"(5,16]",110.200996094251
"363","M",TRUE,13031,"(16,50]",198.200277690666
"364","M",TRUE,13031,"(50,65]",117.171522258756
"365","M",TRUE,13031,"(65,85]",139.790221321155
"366","M",TRUE,13031,"(85,110]",26.8286616643623
"367","M",TRUE,13035,"(-1,5]",59.0951788698638
"368","M",TRUE,13035,"(5,16]",135.758459602014
"369","M",TRUE,13035,"(16,50]",279.627095571778
"370","M",TRUE,13035,"(50,65]",168.204976502379
"371","M",TRUE,13035,"(65,85]",161.599165688115
"372","M",TRUE,13035,"(85,110]",28.30512376585
"373","M",TRUE,13036,"(-1,5]",43.0729247361407
"374","M",TRUE,13036,"(5,16]",103.600169667417
"375","M",TRUE,13036,"(16,50]",204.93517453707
"376","M",TRUE,13036,"(50,65]",121.349614289161
"377","M",TRUE,13036,"(65,85]",118.637356676966
"378","M",TRUE,13036,"(85,110]",29.1887600932449
"379","M",TRUE,13037,"(-1,5]",42.9113979484178
"380","M",TRUE,13037,"(5,16]",105.992537345624
"381","M",TRUE,13037,"(16,50]",208.704734099137
"382","M",TRUE,13037,"(50,65]",100.553270306975
"383","M",TRUE,13037,"(65,85]",107.955507532953
"384","M",TRUE,13037,"(85,110]",18.5225527668917
"385","M",TRUE,13040,"(-1,5]",324.321942435342
"386","M",TRUE,13040,"(5,16]",683.429460598276
"387","M",TRUE,13040,"(16,50]",1477.28872900445
"388","M",TRUE,13040,"(50,65]",682.654971389255
"389","M",TRUE,13040,"(65,85]",726.249366252072
"390","M",TRUE,13040,"(85,110]",177.439530320602
"391","M",TRUE,13044,"(-1,5]",30.5452298885063
"392","M",TRUE,13044,"(5,16]",75.3571516394174
"393","M",TRUE,13044,"(16,50]",148.006212517409
"394","M",TRUE,13044,"(50,65]",85.9735703628242
"395","M",TRUE,13044,"(65,85]",86.0765474218834
"396","M",TRUE,13044,"(85,110]",15.0972881699597
"397","M",TRUE,13046,"(-1,5]",38.3194922703406
"398","M",TRUE,13046,"(5,16]",83.1846992919942
"399","M",TRUE,13046,"(16,50]",173.268627674294
"400","M",TRUE,13046,"(50,65]",94.9592562337563
"401","M",TRUE,13046,"(65,85]",94.919957749291
"402","M",TRUE,13046,"(85,110]",16.4679667803235
"403","M",TRUE,13049,"(-1,5]",74.4464073003622
"404","M",TRUE,13049,"(5,16]",203.022034366196
"405","M",TRUE,13049,"(16,50]",406.137684772198
"406","M",TRUE,13049,"(50,65]",222.670678247301
"407","M",TRUE,13049,"(65,85]",252.411905530369
"408","M",TRUE,13049,"(85,110]",46.6872897835726
"409","M",TRUE,13053,"(-1,5]",55.9441339471877
"410","M",TRUE,13053,"(5,16]",133.114967643418
"411","M",TRUE,13053,"(16,50]",287.989055992083
"412","M",TRUE,13053,"(50,65]",154.098008993628
"413","M",TRUE,13053,"(65,85]",166.631458685655
"414","M",TRUE,13053,"(85,110]",34.7713747380296
"415","M",TRUE,23002,"(-1,5]",185.199240563015
"416","M",TRUE,23002,"(5,16]",388.527509969399
"417","M",TRUE,23002,"(16,50]",716.269505921356
"418","M",TRUE,23002,"(50,65]",324.514699335407
"419","M",TRUE,23002,"(65,85]",335.499736031323
"420","M",TRUE,23002,"(85,110]",84.0073081795004
"421","M",TRUE,23003,"(-1,5]",71.8286940894071
"422","M",TRUE,23003,"(5,16]",189.525780578201
"423","M",TRUE,23003,"(16,50]",310.531240949375
"424","M",TRUE,23003,"(50,65]",155.591528855705
"425","M",TRUE,23003,"(65,85]",151.456961504107
"426","M",TRUE,23003,"(85,110]",42.6617940232051
"427","M",TRUE,23009,"(-1,5]",6.29332378575289
"428","M",TRUE,23009,"(5,16]",19.2577433654158
"429","M",TRUE,23009,"(16,50]",29.7773518310705
"430","M",TRUE,23009,"(50,65]",18.3034221519798
"431","M",TRUE,23009,"(65,85]",14.1759196617138
"432","M",TRUE,23009,"(85,110]",2.41323920406717
"433","M",TRUE,23016,"(-1,5]",157.269835041841
"434","M",TRUE,23016,"(5,16]",388.56105298582
"435","M",TRUE,23016,"(16,50]",684.530036281947
"436","M",TRUE,23016,"(50,65]",350.048658942262
"437","M",TRUE,23016,"(65,85]",372.933649848207
"438","M",TRUE,23016,"(85,110]",109.756766899923
"439","M",TRUE,23023,"(-1,5]",21.7483812581813
"440","M",TRUE,23023,"(5,16]",60.9283399286166
"441","M",TRUE,23023,"(16,50]",109.848834226223
"442","M",TRUE,23023,"(50,65]",62.1498365865056
"443","M",TRUE,23023,"(65,85]",55.6726749479876
"444","M",TRUE,23023,"(85,110]",12.4519330524863
"445","M",TRUE,23024,"(-1,5]",24.2520681032567
"446","M",TRUE,23024,"(5,16]",64.2794376790037
"447","M",TRUE,23024,"(16,50]",122.468166410813
"448","M",TRUE,23024,"(50,65]",71.7392343711977
"449","M",TRUE,23024,"(65,85]",72.2300879605155
"450","M",TRUE,23024,"(85,110]",15.5070054752135
"451","M",TRUE,23025,"(-1,5]",153.641313954967
"452","M",TRUE,23025,"(5,16]",339.928098174664
"453","M",TRUE,23025,"(16,50]",623.411038589452
"454","M",TRUE,23025,"(50,65]",296.103165306231
"455","M",TRUE,23025,"(65,85]",304.899145000838
"456","M",TRUE,23025,"(85,110]",86.7172389738483
"457","M",TRUE,23027,"(-1,5]",171.92854907485
"458","M",TRUE,23027,"(5,16]",378.96098787522
"459","M",TRUE,23027,"(16,50]",767.304364981106
"460","M",TRUE,23027,"(50,65]",326.707125380472
"461","M",TRUE,23027,"(65,85]",344.332539151747
"462","M",TRUE,23027,"(85,110]",78.318433536605
"463","M",TRUE,23032,"(-1,5]",15.6780547382543
"464","M",TRUE,23032,"(5,16]",39.4310549547019
"465","M",TRUE,23032,"(16,50]",77.6961676822393
"466","M",TRUE,23032,"(50,65]",43.73005630076
"467","M",TRUE,23032,"(65,85]",42.6201042401187
"468","M",TRUE,23032,"(85,110]",10.3045620839259
"469","M",TRUE,23033,"(-1,5]",35.4224546892613
"470","M",TRUE,23033,"(5,16]",81.2361700580565
"471","M",TRUE,23033,"(16,50]",140.827625592542
"472","M",TRUE,23033,"(50,65]",62.2233876209359
"473","M",TRUE,23033,"(65,85]",66.4215826946541
"474","M",TRUE,23033,"(85,110]",19.3107793445497
"475","M",TRUE,23038,"(-1,5]",28.3805703593146
"476","M",TRUE,23038,"(5,16]",71.4505705547194
"477","M",TRUE,23038,"(16,50]",135.473561982473
"478","M",TRUE,23038,"(50,65]",73.0682351333966
"479","M",TRUE,23038,"(65,85]",67.5273708244573
"480","M",TRUE,23038,"(85,110]",18.4616911456388
"481","M",TRUE,23039,"(-1,5]",23.5695476744926
"482","M",TRUE,23039,"(5,16]",59.6718705553814
"483","M",TRUE,23039,"(16,50]",120.7931176058
"484","M",TRUE,23039,"(50,65]",64.2793537229731
"485","M",TRUE,23039,"(65,85]",68.243010496453
"486","M",TRUE,23039,"(85,110]",15.1790999448995
"487","M",TRUE,23044,"(-1,5]",59.6387789871444
"488","M",TRUE,23044,"(5,16]",140.765204120659
"489","M",TRUE,23044,"(16,50]",265.235479325652
"490","M",TRUE,23044,"(50,65]",134.246651532122
"491","M",TRUE,23044,"(65,85]",151.666095929541
"492","M",TRUE,23044,"(85,110]",28.9277901048822
"493","M",TRUE,23045,"(-1,5]",53.0783159450757
"494","M",TRUE,23045,"(5,16]",133.322897612937
"495","M",TRUE,23045,"(16,50]",264.909205687345
"496","M",TRUE,23045,"(50,65]",136.846458691024
"497","M",TRUE,23045,"(65,85]",143.712636173096
"498","M",TRUE,23045,"(85,110]",31.6474858905222
"499","M",TRUE,23047,"(-1,5]",98.9252733295815
"500","M",TRUE,23047,"(5,16]",249.385828467253
"501","M",TRUE,23047,"(16,50]",395.077298045967
"502","M",TRUE,23047,"(50,65]",159.579816188857
